"Identifier","ShortTitle","Variable","Key","Title","Description","CategoryGroupID"
"82616NED","In- en uitvoer; diensten, land, kwartaal","Landen","L008718","Polen","Polen en Dantzig.
GEO code: 060
ISO landcode 3 cijfers: 616
ISO landcode 2 letters: PL 
ISO landcode 3 letters: POL",42
"82061NED","Hotels; gasten, regio","WoonlandVanGasten","L008718","Polen","Polen en Dantzig",4
"37325","Bevolking; migratieachtergrond","Migratieachtergrond","H008718","Polen","Polen en Dantzig.",26
"83728NED","Verdiensten en arbeid; uitvoer, landen  ","Landen","L008718","Polen","Polen en Dantzig. 
GEO code: 060 
ISO landcode 3 cijfers: 616 
ISO landcode 2 letters: PL 
ISO landcode 3 letters: POL",3
"83084NED","Wegvervoer; vervoer tussen EU-landen","LandVanLaden","L008718","Polen","ISO landcode 2 letters: PL,
ISO landcode 3 letters: POL,
ISO landcode 3 cijfers: 616,
GEO code: 060.",NA
"83084NED","Wegvervoer; vervoer tussen EU-landen","LandVanLossen","L008718","Polen","ISO landcode 2 letters: PL,
ISO landcode 3 letters: POL,
ISO landcode 3 cijfers: 616,
GEO code: 060.",NA
"83307NED","Geboorte; vruchtbaarheid","MigratieachtergrondMoeder","H008718","Polen","Polen en Dantzig.",4
"84297NED","Landbouw; kerncijfers EU","Landen","L008718","Polen","Polen en Dantzig.
GEO code: 060
ISO landcode 3 cijfers: 616
ISO landcode 2 letters: PL 
ISO landcode 3 letters: POL",3
"82055NED","Levend geboren kinderen; huishouden","MigratieachtergrondKind","H008718","Polen","Polen en Dantzig.",4
"80518ned","Vertrouwen in mensen, recht en politiek","Land","L008718","Polen","Polen en Dantzig.",7
"37884","Levendgeborenen; mig.achtergrond moeder","MigratieachtergrondMoeder","H008718","Polen","Polen en Dantzig.",8
"81959NED","Verdachten, migratieachtergrond","Migratieachtergrond","H008718","Polen","Polen en Dantzig.",6
"84037NED","Hotels; gasten, sterklasse","Woonland","L008718","Polen","",4
"60032","Migratie; land van herkomst / vestiging","LandVanHerkomstVestiging","L008718","Polen","Polen en Dantzig.",8
"70751ned","Bevolkingsontwikkeling; migr.achtergrond","Migratieachtergrond","H008718","Polen","Polen en Dantzig.",7
"83194NED","Overledenen; migratieachtergrond ","Migratieachtergrond","H008718","Polen","Polen en Dantzig.",8
"70067ned","Huishoudens naar migratieachtergrond","Migratieachtergrond","H008718","Polen","Polen en Dantzig.",5
"84757NED","Caribisch Ned; geb.land, nationaliteit","Geboorteland","G008718","Polen","Polen en Dantzig.",11
"81271ned","Totale in- en uitvoer naar land; jaar","Landen","L008718","Polen","GEO code: 060
ISO landcode 3 cijfers: 616
ISO landcode 2 letters: PL 
ISO landcode 3 letters: POL",4
"84750NED","Werknemers geboren in buitenland","Migratieachtergrond","H008718","Polen","Polen en Dantzig.",18
